sample,species,treatment
10a,acropora,airbrush
10b,acropora,dremel
11a,acropora,airbrush
11b,acropora,dremel
1a,acropora,airbrush
1b,acropora,dremel
5a,acropora,airbrush
5b,acropora,dremel
8a,acropora,airbrush
8b,acropora,dremel
6a,pocillopora,airbrush
6b,pocillopora,dremel
7a,pocillopora,airbrush
7b,pocillopora,dremel
9a,pocillopora,airbrush
9b,pocillopora,dremel
2a,porites,airbrush
2b,porites,dremel
3a,porites,airbrush
3b,porites,dremel
4a,porites,airbrush
4b,porites,dremel
