contrast,species,odds.ratio,SE,df,null,z.ratio,p.value
dremel / airbrush,acropora,0.02383488828716408,0.017853826558073875,Inf,1,-4.988373754672739,6.088968143936535e-7
dremel / airbrush,pocillopora,0.02383488828716408,0.017853826558073875,Inf,1,-4.988373754672739,6.088968143936535e-7
dremel / airbrush,porites,0.02383488828716408,0.017853826558073875,Inf,1,-4.988373754672739,6.088968143936535e-7
