model,overdisp,is_singular,R2_marginal,R2_conditional,AIC,BIC,logLik
mod_add,1.1066602976276068,TRUE,NA,NA,99.35059529063642,117.45427431152596,-43.67529764531821
mod_int,0.8150678865177976,TRUE,NA,NA,99.79795185701717,123.93619055153655,-41.898975928508584
