treatment,contrast,prob_diff,prob_SE,prob_p,prob_low,prob_high,OR,OR_p,OR_low,OR_high
airbrush,acropora vs pocillopora,0.016349315158313654,0.016935332500393606,0.5987966457262702,-0.023342033579177076,0.05604066389580438,5.108821686695101,0.11295392826021677,0.7532908895816746,34.64804816760803
airbrush,acropora vs porites,0.010873105536579308,0.01315450313831375,0.6865077815091016,-0.019957111202247184,0.0417033222754058,2.1637068127826207,0.46237092730948304,0.46990067374884537,9.963014384150862
airbrush,pocillopora vs porites,-0.0054762096217343455,0.008010058061365066,0.7730294619299888,-0.024249387409285936,0.013296968165817243,0.42352365094627603,0.6233962553476031,0.04821445493217933,3.7203009587721443
dremel,acropora vs pocillopora,0.25528231986840877,0.10166183893061814,0.03226152864708154,0.017017408199506284,0.4935472315373113,5.108821686695101,0.11295392826021677,0.7532908895816746,34.64804816760803
dremel,acropora vs porites,0.15103312336463665,0.11819053377789071,0.40768441867457494,-0.12597010013507365,0.42803634686434694,2.1637068127826207,0.46237092730948304,0.46990067374884537,9.963014384150862
dremel,pocillopora vs porites,-0.10424919650377212,0.10985006371991124,0.6092009851486093,-0.36170485542521574,0.1532064624176715,0.42352365094627603,0.6233962553476031,0.04821445493217933,3.7203009587721443
