contrast,treatment,odds.ratio,SE,df,null,z.ratio,p.value
acropora / pocillopora,airbrush,13.486027938192017,10.987202004652412,Inf,1,3.1933499510151253,0.0040180523154069725
acropora / porites,airbrush,0.9290254188896755,0.504462173724669,Inf,1,-0.13557822995373908,0.989917339802655
pocillopora / porites,airbrush,0.06888799453386155,0.059225396042016556,Inf,1,-3.111743086260365,0.005284895666686773
acropora / pocillopora,dremel,13.486027938192017,10.987202004652412,Inf,1,3.1933499510151253,0.0040180523154069725
acropora / porites,dremel,0.9290254188896755,0.504462173724669,Inf,1,-0.13557822995373908,0.989917339802655
pocillopora / porites,dremel,0.06888799453386155,0.059225396042016556,Inf,1,-3.111743086260365,0.005284895666686773
