Comparison,OR,% Δ Odds,CI Lower (95%),CI Upper (95%),P-value
acropora / pocillopora,5.108821686695101,410.88216866951007,0.7532908895816746,34.64804816760803,0.11295392826021677
acropora / porites,2.1637068127826207,116.37068127826207,0.46990067374884537,9.963014384150862,0.46237092730948304
pocillopora / porites,0.42352365094627603,-57.64763490537239,0.04821445493217933,3.7203009587721443,0.6233962553476031
