scenario,outcome,lme4_treatment_OR,firth_treatment_OR,treatment_LRT_chi2,treatment_LRT_p,species_LRT_chi2,species_LRT_p,poc_scrape_yes,n
full,healed01,25.957824897592364,17.29920874717437,16.248116737742947,5.5564798232526815e-5,4.80287111298442,0.09058781597469057,2,151
full,regen01,81.34044087737688,52.213805959770156,31.790448184938825,1.7173524443111217e-8,14.132379831606926,8.534787480516992e-4,2,154
drop_6b,healed01,23.51723662367492,15.752499340142561,14.599293558264819,1.3296437984097596e-4,9.044272329669141,0.010865787745827235,0,144
drop_6b,regen01,78.97050429173284,50.74040269400129,30.618712899817922,3.140501388035242e-8,17.89561793190704,1.3002173021813294e-4,0,147
