scenario,lme4_treatment_OR,firth_treatment_OR,treatment_LRT_p,species_LRT_chi2,species_LRT_p,n
full (complete-case),25.957824897592364,17.29920874717437,5.5564798232526815e-5,4.80287111298442,0.09058781597469057,151
drop coral 6b,23.51723662367492,15.752499340142561,1.3296437984097596e-4,9.044272329669141,0.010865787745827235,144
drop coral 7b,27.368754659377228,18.145553302114525,2.9634224603212955e-5,2.9427636097288143,0.22960799243987062,144
missing healed = yes (best),29.924520322643687,19.818573513383576,2.8741429474032815e-6,3.4966247333839675,0.17406745774806665,154
missing healed = no (worst),25.214435416127078,16.83974958270881,8.250757580049283e-5,4.874273052643616,0.0874107919441255,154
