outcome,term,chi2,p_raw,p_BH,p_Bonferroni,survives_Bonferroni,survives_BH
healed,treatment,16.248116737742947,5.5564798232526815e-5,1.1112959646505363e-4,3.333887893951609e-4,TRUE,TRUE
healed,species,4.80287111298442,0.09058781597469057,0.10870537916962868,0.5435268958481434,FALSE,FALSE
regenerated,treatment,31.790448184938825,1.7173524443111217e-8,1.030411466586673e-7,1.030411466586673e-7,TRUE,TRUE
regenerated,species,14.132379831606926,8.534787480516992e-4,0.0012802181220775489,0.0051208724883101955,TRUE,TRUE
algae/debris,treatment,20.93832986340746,4.74308460477818e-6,1.422925381433454e-5,2.845850762866908e-5,TRUE,TRUE
algae/debris,species,0.3175935251317412,0.8531697373783449,0.8531697373783449,1,FALSE,FALSE
