contrast,species,odds.ratio,SE,df,null,z.ratio,p.value
dremel / airbrush,acropora,81.34044087737688,84.82749397784227,Inf,1,4.217825732974463,2.466693367744293e-5
dremel / airbrush,pocillopora,81.34044087737688,84.82749397784227,Inf,1,4.217825732974463,2.466693367744293e-5
dremel / airbrush,porites,81.34044087737688,84.82749397784227,Inf,1,4.217825732974463,2.466693367744293e-5
