treatment,species,Pr_no,Pr_incomplete,Pr_yes
airbrush,acropora,0.3874267615590146,0.5133980988739757,0.09917513956700953
airbrush,pocillopora,0.5666971233021239,0.38275447279973634,0.050548403898139686
airbrush,porites,0.5438827570654701,0.400945329178257,0.05517191375627287
dremel,acropora,0.17591292140478793,0.5781273699474534,0.24595970864775876
dremel,pocillopora,0.3062399098398513,0.5575119524371657,0.13624813772298305
dremel,porites,0.28696677017483313,0.5655405892754644,0.14749264054970251
