section,outcome,model,term,n,estimate,estimate_type,ci_lower,ci_upper,effect_pct,fold_change,test_stat,df,p_value,p_formatted,notes
Sensitivity (Firth),regenerated,Firth-penalized logistic (brglm2),Dremel vs Airbrush,NA,52.21,OR,9.689,281.4,5121,52.21,NA,NA,4.17e-6,<0.001,"SUPPORTING (timepoint-level), separation-robust; profile-likelihood CI; fixed-effects only (RE variance ≈ 0 in main GLMM). For healed this Firth row LEADS the supporting reporting. Primary = fragment-level (exp1_fragment_level_primary.csv)."
Sensitivity (Firth),regenerated,Firth-penalized logistic (brglm2),Pocillopora vs Acropora,NA,0.0914,OR,0.02064,0.4048,-90.86,0.0914,NA,NA,0.00163,0.002,"SUPPORTING (timepoint-level), separation-robust; profile-likelihood CI; fixed-effects only (RE variance ≈ 0 in main GLMM). For healed this Firth row LEADS the supporting reporting. Primary = fragment-level (exp1_fragment_level_primary.csv)."
Sensitivity (Firth),regenerated,Firth-penalized logistic (brglm2),Porites vs Acropora,NA,1.07,OR,0.3764,3.045,7.048,1.07,NA,NA,0.898,0.898,"SUPPORTING (timepoint-level), separation-robust; profile-likelihood CI; fixed-effects only (RE variance ≈ 0 in main GLMM). For healed this Firth row LEADS the supporting reporting. Primary = fragment-level (exp1_fragment_level_primary.csv)."
External: Exp 3,Single-polyp regeneration timing,Qualitative (n needle ablations),[Porites] Time to regeneration,NA,NA,days,NA,NA,NA,NA,NA,NA,NA,NA,Individual polyps regenerate by day 10 regardless of position (apex vs base). Polyp regeneration occurs ~7 days after coenosarc coverage. Source: manuscript draft 2026-02-16.
External: Exp 4,Histology — scrape D2,Qualitative (n=40 fragments from 10 bommies),[Porites] Cellular state,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Source: manuscript draft 2026-02-16. Day 2 post-injury.
External: Exp 4,Histology — scrape D7,Qualitative,[Porites] Cellular state,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Source: manuscript draft 2026-02-16.
External: Exp 4,Histology — airbrush D2,Qualitative,[Porites] Cellular state,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Source: manuscript draft 2026-02-16.
External: Exp 4,Histology — airbrush D7-D21,Qualitative,[Porites] Cellular state,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Source: manuscript draft 2026-02-16.
"Primary (fragment-level, n=22)",regenerated,Firth penalized logistic (logistf),Dremel vs Airbrush (treatment),22,103.7,OR,5.79,32520,10270,103.7,NA,NA,2.12e-4,<0.001,PRIMARY estimate: profile-likelihood CI; drops parent RE (separation-robust)
"Primary (fragment-level, n=22)",regenerated,glmer (1|parent_id) [SEPARATION: OR at boundary],Dremel vs Airbrush (treatment),22,4252e15,OR,0,Inf,4252e17,4252e15,NA,NA,1.13e-5,<0.001,"Fragment-level GLMM; OR Wald CI, p via drop1 LRT (reported alongside Firth)"
"Primary (fragment-level, n=22)",regenerated,Paired exact McNemar (within-parent),Scrape-only vs Airbrush-only discordant pairs,11,NA,exact p (paired/Fisher),NA,NA,NA,NA,NA,NA,0.00781,0.008,PRIMARY confirmatory (pseudoreplication-free): 8 discordant (scrape-only) vs 0 (airbrush-only)
"Primary (fragment-level, n=22)",healed,Firth penalized logistic (logistf),Dremel vs Airbrush (treatment),22,19.82,OR,2.652,284.3,1882,19.82,NA,NA,0.00229,0.002,PRIMARY estimate: profile-likelihood CI; drops parent RE (separation-robust)
"Primary (fragment-level, n=22)",healed,glmer (1|parent_id) [SEPARATION: OR at boundary],Dremel vs Airbrush (treatment),22,4572000000,OR,8.345e-31,2505e46,457199999900,4572000000,NA,NA,1.86e-5,<0.001,"Fragment-level GLMM; OR Wald CI, p via drop1 LRT (reported alongside Firth)"
"Primary (fragment-level, n=22)",healed,Paired exact McNemar (within-parent),Scrape-only vs Airbrush-only discordant pairs,11,NA,exact p (paired/Fisher),NA,NA,NA,NA,NA,NA,0.0156,0.016,PRIMARY confirmatory (pseudoreplication-free): 7 discordant (scrape-only) vs 0 (airbrush-only)
"Primary (fragment-level, n=22)",healed,Per-species day-28 Fisher exact,acropora: scrape vs airbrush (healed yes),10,Inf,OR,NA,NA,Inf,Inf,NA,NA,0.00794,0.008,CONFIRMATION (model-free): airbrush 0/5 vs scrape 5/5 healed
"Primary (fragment-level, n=22)",healed,Per-species day-28 Fisher exact,pocillopora: scrape vs airbrush (healed yes),6,Inf,OR,NA,NA,Inf,Inf,NA,NA,1,1.000,CONFIRMATION (model-free): airbrush 0/3 vs scrape 1/3 healed
"Primary (fragment-level, n=22)",healed,Per-species day-28 Fisher exact,porites: scrape vs airbrush (healed yes),5,Inf,OR,NA,NA,Inf,Inf,NA,NA,0.4,0.400,CONFIRMATION (model-free): airbrush 1/3 vs scrape 2/2 healed
