outcome,n,uniformity_KS_p,dispersion_p,outlier_p,temporal_DW,temporal_p
Healing,151,0.8433625965554891,0.93,1,0.4181846940567059,0.00380815388452574
Regeneration,154,0.39187507460557813,0.908,1,0.39520708882663447,0.002870591100483806
Algal colonization,150,0.5774830415579717,0.754,1,0.7521958272664842,0.04362162067126518
