term,estimate,std.error,z,p.value,OR,OR_low,OR_high,re_structure
no|incomplete,-0.4581286296140634,0.2796780961532388,-1.6380568800892064,0.10140982887131897,NA,NA,NA,(1|parent_id/coral_id)
incomplete|yes,2.2064397147460935,0.34492789763722825,6.396814319341247,1.586520577040845e-10,NA,NA,NA,(1|parent_id/coral_id)
treatmentdremel,1.086149570056991,0.32999788556610066,3.29138342263538,9.969592817641124e-4,2.9628438583567167,1.5517040503148998,5.657292527670231,(1|parent_id/coral_id)
speciespocillopora,-0.7265050525345683,0.3851794093076845,-1.8861471692902203,0.059275125462018935,0.48359618330213316,0.22730633115371948,1.0288550579184499,(1|parent_id/coral_id)
speciesporites,-0.6341081825356828,0.3920836516622194,-1.61727779224513,0.1058183307787974,0.5304083048426914,0.24595857788878298,1.1438225585013342,(1|parent_id/coral_id)
