Term,OR,CI Lower,CI Upper,P-value,outcome
Dremel vs Airbrush,17.29920874717437,3.218948777101154,92.96905418539069,8.920388088347401e-4,healed
Pocillopora vs Acropora,0.2355081368751899,0.053597977047345716,1.0348167149187186,0.05553742438926771,healed
Porites vs Acropora,0.4979570019686937,0.14535069888505955,1.7059510391878634,0.26708514072919404,healed
