species,treatment,prob,SE,lower,upper
acropora,airbrush,0.020411301936792282,0.020424363287013275,0.0028061623569267647,0.13366202213336045
pocillopora,airbrush,0.004061986778478629,0.005034061322350198,3.5575130678753886e-4,0.04465514753519087
porites,airbrush,0.009538196400212974,0.010674050457593476,0.0010505871028378356,0.08103411230612052
acropora,dremel,0.3510172152174935,0.07971554082167193,0.21409409149120634,0.5178123672721877
pocillopora,dremel,0.09573489534908475,0.0643741989740485,0.024056711240257503,0.3125791556035403
porites,dremel,0.19998409185285687,0.08949957101771643,0.07707216909310913,0.42800906156640234
